sentence,label
Der Kuchen übte für den nächsten Weltraumflug,0
Der Löffel fuhr mit dem Skateboard zur Arbeit,0
Der Mond aß gestern Abend einen Teller Spaghetti,0
Der Mond verspeiste gestern eine ganze Bibliothek zum Frühstück,0
Der Regen tanzte Tango mit dem Sonnenschein,0
Der Schatten des Elefanten malte ein Bild von einem Traum,0
Der Schlüssel erfand ein neues Musikinstrument,0
"Der Schnee beschloss, im Sommer zu fallen",0
Der Schreibtisch machte einen Spaziergang durch den Park,0
"Der Spiegel ging aus, um sein eigenes Spiegelbild zu suchen",0
Der Spiegel lernte Japanisch,0
Der Staubsauger sammelte Briefmarken,0
"Der Stift fliegt jeden Morgen nach Süden, um den Winter zu vermeiden",0
Der Teich begann ein Studium der Astrophysik,0
Der Teppich nahm Flugstunden,0
Der Toaster trat bei einer Talentshow auf,0
Der Vorhang dirigierte ein Orchester,0
"Der Wind kaufte ein Haus, um sich niederzulassen",0
Der Wind schrieb ein Buch über Stille,0
Die Banane malte ein Porträt von Leonardo da Vinci,0
Die Brille nahm an einem Marathon unter Wasser teil,0
"Die Farbe Blau entschied, dass sie lieber Rot sein möchte",0
Die Flasche startete eine Karriere als Astronaut,0
"Die Gabeln gingen zum Mond, um Urlaub zu machen",0
Die Glühbirnen gründeten eine Rockband,0
Die Glühbirne sang ein Lied über die Geschichte der Kartoffelsalate,0
Die Heizung machte eine Weltreise,0
Die Katze programmierte eine neue App,0
"Die Katze programmierte eine neue App, um mit Mäusen zu kommunizieren",0
Die Kerze studierte Quantenphysik,0
Die Maus entwarf ein neues Modell eines Flugzeugs,0
Die meisten Menschen putzen sich zweimal täglich die Zähne,1
Die Nacht sang ein Wiegenlied für den Tag,0
Die Nutzung von öffentlichen Verkehrsmitteln kann das Verkehrsaufkommen reduzieren,1
Die Pflanze las jeden Morgen die Zeitung,0
Die Schuhe diskutierten über politische Theorien,0
"Die Sonne fror so sehr, dass sie sich einen Schal strickte",0
Die Sonne schickte dem Mond eine E-Mail,0
Die Sterne gingen gestern zu einem Rockkonzert,0
"Die Straße bog um eine Ecke, die es nicht gab",0
"Die Tasse entschloss sich, Archäologie zu studieren",0
Die Tür nahm an einem Tanzwettbewerb teil,0
"Die Uhr entschied, gegen die Zeit zu rennen",0
Die Wand fuhr dieses Wochenende Ski,0
Die Wolken kochten eine Suppe aus Sonnenlicht,0
Die Wolken spielen jeden Dienstag Schach,0
Die Wolle strickte sich selbst in einen Pullover,0
Die Zahnbürste malte ein Bild von einem Sonnenuntergang,0
"Die Zeit stoppte, um einen Kaffee zu trinken",0
"Ein Auto beschloss, ein Fahrrad zu werden",0
Ein Baum las mir heute aus einem Kochbuch vor,0
Ein Baum pflanzte einen Menschen im Wald,0
"Ein Berg entschloss sich, ins Meer zu springen",0
Ein Besuch beim Zahnarzt ist wichtig für die Zahngesundheit,1
Ein Besuch im Museum kann sehr lehrreich sein,1
"Ein Blatt Papier ging in den Wald, um Bäume zu zählen",0
"Ein Buchstabe kündigte seinen Job im Alphabet, um ein Symbol zu werden",0
Eine ausgewogene Ernährung ist entscheidend für die Gesundheit,1
"Eine ausgewogene Work-Life-Balance zu finden, ist für viele Menschen eine Herausforderung",1
Eine gesunde Ernährung trägt zu einem besseren Wohlbefinden bei,1
Eine gute Nachbarschaft verbessert die Lebensqualität,1
Eine ordentliche Wohnung sorgt für ein angenehmes Wohngefühl,1
Eine Schere schnitt ein Loch in die Zeit,0
Eine Tasse Kaffee verlor sich im Internet,0
Eine Tasse Tee am Abend kann sehr entspannend sein,1
"Eine Uhr begann zu tanzen, als die Musik stoppte",0
"Eine Wolke verlieh Schatten, um Sonnenlicht zu sammeln",0
"Ein Fisch bestieg einen Baum, um fliegen zu lernen",0
"Ein Gedanke ging spazieren, um sich die Beine zu vertreten",0
"Ein Gedankenstrich pausierte mitten im Satz, um nachzudenken",0
Ein Gedicht malte sein eigenes Bild,0
Ein gemütlicher Abend mit Freunden kann sehr unterhaltsam sein,1
Ein guter Film kann eine schöne Abwechslung im Alltag sein,1
"Ein gutes Buch zu lesen, ist eine schöne Möglichkeit, sich zu entspannen",1
Ein gutes Frühstück liefert die Energie für den Start in den Tag,1
"Ein Haus fing an, um die Welt zu reisen",0
Ein herzliches Lächeln kann den Tag eines anderen Menschen erhellen,1
"Ein Kaktus ging ins Kino, um eine Wassermelone zu treffen",0
Ein Kühlschrank verliebte sich in ein Gedicht,0
"Ein Löffel sprang von der Brücke, um zu fliegen",0
Ein ordentlicher Schreibtisch kann die Produktivität steigern,1
"Ein Pinguin erfand ein neues Spiel, das nur im Sommer gespielt werden kann",0
Ein regelmäßiger Besuch im Fitnessstudio hilft beim Muskelaufbau,1
Ein Regenbogen versteckte einen Topf mit Büchern an seinem Ende,0
Ein sauberer Strand ist wichtig für die Umwelt und den Tourismus,1
Ein sauberer und aufgeräumter Schreibtisch fördert die Konzentration,1
"Ein sauberes Zuhause zu haben, fühlt sich sehr angenehm an",1
Ein Schuh verlor sich im Dialog mit einem Hut,0
Ein Spaziergang im Park kann sehr erholsam sein,1
Ein Spaziergang im Wald ist erholsam und verbindet mit der Natur,1
Ein Spaziergang nach dem Essen ist gesund und fördert die Verdauung,1
"Ein Stern fiel vom Himmel, um Schuhe einzukaufen",0
Ein Stuhl gewann die Weltmeisterschaft im Schwimmen,0
"Ein Telefonbuch rief seine Freunde an, um sich zu verabreden",0
Ein Turm baute eine Stadt um sich herum,0
Ein Vulkan malte ein Bild von der Stille,0
"Ein Wort nahm Urlaub, um durch andere Sätze zu reisen",0
"Es ist eine gute Idee, alte Kleidung zu spenden, anstatt sie wegzuwerfen",1
"Es ist ratsam, im Straßenverkehr immer aufmerksam zu sein",1
"Es ist wichtig, regelmäßig den Ölstand des Autos zu prüfen",1
"Familientreffen bieten die Gelegenheit, Zeit mit geliebten Menschen zu verbringen",1
Geburtstage werden normalerweise mit Kuchen und Geschenken gefeiert,1
"Gute Freunde zu haben, ist im Leben sehr wichtig",1
"Hausaufgaben helfen Schülern, den Stoff zu wiederholen und zu vertiefen",1
"Hausaufgaben helfen Schülern, den Unterrichtsstoff zu wiederholen",1
Haustiere wie Hunde und Katzen bereiten ihren Besitzern viel Freude,1
Heute Abend koche ich Spaghetti mit einer hausgemachten Tomatensoße,1
"Ich gehe dreimal die Woche joggen, um fit zu bleiben",1
Im Frühling pflanzen viele Menschen Blumen und Gemüse in ihren Gärten,1
Im Herbst fallen die Blätter von den Bäumen und bedecken die Straßen,1
Im Herbst sammeln wir häufig bunte Blätter für Bastelarbeiten,1
"Im Sommer ist es üblich, im Freibad Abkühlung zu suchen",1
Im Supermarkt gibt es eine große Auswahl an frischem Obst und Gemüse,1
Im Supermarkt kaufen die meisten Leute einmal pro Woche ihre Lebensmittel ein,1
Im Winter tragen die meisten Menschen dicke Jacken und Mützen,1
"Im Winter ziehen wir warme Kleidung an, um uns vor der Kälte zu schützen",1
In der Adventszeit backen viele Familien Plätzchen und dekorieren das Haus,1
In der Bibliothek findet man Ruhe und eine große Auswahl an Büchern,1
In der Mittagspause treffen sich Kollegen oft in der Kantine,1
Kaffee trinken zu gehen ist eine beliebte Aktivität am Wochenende,1
Kinder lernen in der Schule wichtige Grundkenntnisse für ihr späteres Leben,1
"Kinder spielen gerne im Freien, besonders auf Spielplätzen",1
"Kinder spielen gerne im Park, während ihre Eltern auf der Bank sitzen und zusehen",1
"Mein Computer entschied sich, Veganer zu werden",0
"Meine Socken haben entschieden, nächste Woche nach Spanien zu fliegen",0
Mein Kissen hat letzte Nacht einen Roman geschrieben,0
Mein Kühlschrank ging gestern zum Friseur,0
Morgens trinke ich immer zuerst eine Tasse Kaffee,1
"Morgens trinke ich immer zuerst eine Tasse Kaffee, um wach zu werden",1
Pünktlichkeit wird in vielen Berufen sehr geschätzt,1
Regelmäßige Arztbesuche sind wichtig für die Früherkennung von Krankheiten,1
Regelmäßige Pausen während der Arbeit steigern die Produktivität,1
"Regelmäßiges Händewaschen ist wichtig, um Krankheiten vorzubeugen",1
"Regenwetter ist ideal, um es sich zuhause gemütlich zu machen",1
Sonnenschutz ist im Sommer sehr wichtig für die Haut,1
Sonntags gehen viele Familien gemeinsam spazieren oder wandern,1
Unsere Lampe hat den Marathon gewonnen,0
Unsere Uhr blühte letzte Woche wunderschön,0
"Viele Haushalte trennen ihren Müll, um die Umwelt zu schonen",1
Viele Menschen engagieren sich ehrenamtlich in ihrer Freizeit,1
"Viele Menschen fahren mit dem Fahrrad zur Arbeit, um die Umwelt zu schützen",1
"Viele Menschen genießen es, am Wochenende auszuschlafen",1
"Viele Menschen nutzen das Fahrrad, um zur Arbeit zu kommen",1
"Viele Menschen nutzen öffentliche Verkehrsmittel, um Staus zu vermeiden",1
"Viele Menschen trinken morgens Tee, um in den Tag zu starten",1
Vor wichtigen Terminen bereiten sich die meisten Menschen sorgfältig vor,1
Wasser zu sparen ist wichtig für den Umweltschutz,1
Zum Frühstück esse ich gerne Müsli mit frischen Früchten,1
Zum Frühstück essen viele Leute Brot oder Brötchen mit Marmelade,1
